numports,count
2,239952
3,161950
4,59997
5,43011
6,34301
7,29703
8,27522
9,26207
11,24757
10,22722
12,21366
13,6570
14,4821
15,3719
16,3138
17,2651
18,2242
19,1877
20,1564
24,1505
21,1474
23,1464
22,1392
25,1330
26,742
27,529
28,464
653,386
29,370
30,340
31,271
32,226
33,196
36,185
34,182
35,180
37,171
38,158
39,141
40,135
41,132
45,114
42,112
44,106
48,101
654,99
43,97
46,93
52,88
47,84
54,79
53,77
235,75
49,74
51,74
55,66
50,64
57,61
56,58
58,58
62,53
64,52
61,52
66,51
59,50
70,48
60,48
65,46
72,45
78,44
63,44
71,42
67,42
77,41
74,41
69,37
100,36
73,36
68,36
81,35
86,32
83,32
79,32
80,31
76,30
111,30
112,30
106,30
87,29
82,29
92,28
90,28
75,27
94,26
113,26
116,26
118,26
104,26
85,25
115,25
107,25
84,25
98,25
103,24
114,24
91,23
120,23
117,23
97,23
124,23
102,22
108,21
88,21
105,21
110,21
123,20
122,19
127,19
95,19
109,19
99,18
133,17
101,17
121,16
134,16
89,16
126,15
128,15
125,15
93,14
130,14
136,14
129,14
132,12
142,12
131,11
138,11
152,10
161,10
166,10
195,10
119,10
146,9
141,9
96,9
162,8
135,8
180,8
137,8
145,8
177,7
139,7
261,7
156,7
341,7
151,7
147,7
158,7
149,7
144,7
155,6
193,6
210,6
230,6
140,6
182,6
257,6
175,6
220,6
181,6
170,6
150,6
198,6
153,6
157,5
224,5
218,5
168,5
173,5
216,5
167,5
256,5
248,5
209,5
519,5
882,5
163,5
201,5
184,5
148,4
336,4
225,4
185,4
259,4
212,4
205,4
169,4
258,4
165,4
189,4
217,4
312,4
240,4
237,4
160,4
213,4
228,4
276,4
302,4
187,4
159,4
236,4
190,4
377,4
202,4
278,4
172,4
192,4
204,4
516,3
362,3
211,3
577,3
253,3
329,3
223,3
178,3
308,3
250,3
266,3
268,3
279,3
154,3
358,3
197,3
326,3
176,3
194,3
234,3
214,3
188,3
342,3
242,3
199,3
275,3
215,3
399,3
332,3
271,3
164,3
292,3
318,3
286,3
290,3
238,3
171,3
391,3
245,3
143,3
219,3
371,3
200,3
365,3
571,3
282,3
233,3
247,3
323,3
314,3
331,3
471,2
463,2
243,2
251,2
451,2
481,2
322,2
597,2
412,2
417,2
372,2
539,2
246,2
346,2
206,2
1047,2
262,2
269,2
207,2
383,2
486,2
263,2
324,2
307,2
273,2
277,2
264,2
509,2
267,2
293,2
591,2
396,2
203,2
272,2
655,2
574,2
354,2
349,2
284,2
522,2
294,2
313,2
186,2
174,2
584,2
392,2
255,2
436,2
36423,2
222,2
330,2
747,2
305,2
906,2
291,2
280,2
283,2
295,2
191,2
415,2
1166,2
489,2
310,2
456,2
196,2
549,2
288,2
287,2
790,2
809,2
265,2
376,2
254,2
940,2
913,2
888,2
962,2
557,2
311,2
483,2
208,2
297,2
363,2
306,2
299,2
845,2
494,2
679,2
239,2
4245,2
249,2
490,2
260,2
588,2
554,2
298,2
315,2
12139,1
38150,1
35756,1
35133,1
35211,1
1823,1
36295,1
939,1
36794,1
731,1
3166,1
2169,1
1280,1
23589,1
2680,1
388,1
7032,1
27284,1
12980,1
1848,1
604,1
23756,1
4277,1
416,1
694,1
10650,1
36685,1
39178,1
7616,1
4688,1
442,1
36123,1
348,1
15151,1
5701,1
328,1
6583,1
36286,1
491,1
32287,1
17505,1
641,1
36832,1
62008,1
1048,1
11971,1
511,1
327,1
563,1
1182,1
1124,1
619,1
37613,1
22303,1
609,1
2759,1
12079,1
387,1
870,1
838,1
441,1
800,1
713,1
1205,1
301,1
3830,1
687,1
555,1
21928,1
664,1
691,1
434,1
1673,1
37585,1
4778,1
7099,1
403,1
395,1
12779,1
361,1
658,1
9874,1
16035,1
43157,1
4496,1
952,1
356,1
8254,1
3318,1
3259,1
730,1
37066,1
710,1
1079,1
338,1
1936,1
11872,1
630,1
3082,1
478,1
303,1
9245,1
1105,1
2373,1
2908,1
35340,1
3849,1
413,1
561,1
4609,1
36259,1
7502,1
26056,1
2005,1
778,1
357,1
37167,1
64257,1
985,1
915,1
2456,1
616,1
252,1
39692,1
745,1
788,1
36155,1
7910,1
6176,1
2247,1
472,1
321,1
368,1
37026,1
6419,1
1226,1
35287,1
35670,1
16774,1
784,1
37825,1
1269,1
743,1
606,1
2371,1
2727,1
15111,1
2723,1
30538,1
10227,1
15085,1
6606,1
14775,1
46946,1
476,1
8178,1
28224,1
35019,1
355,1
1512,1
35711,1
353,1
12168,1
2796,1
435,1
29070,1
3978,1
440,1
41433,1
10937,1
572,1
998,1
8108,1
839,1
359,1
6171,1
11662,1
5148,1
646,1
4043,1
2535,1
3632,1
35265,1
8614,1
989,1
542,1
560,1
28221,1
227,1
40163,1
1973,1
35280,1
3003,1
21817,1
564,1
381,1
721,1
594,1
583,1
3681,1
437,1
1545,1
813,1
38930,1
824,1
585,1
2674,1
439,1
8624,1
18630,1
448,1
400,1
16426,1
1007,1
771,1
8802,1
28720,1
18427,1
9933,1
569,1
812,1
57670,1
818,1
39577,1
1083,1
390,1
464,1
528,1
12551,1
863,1
23417,1
662,1
433,1
592,1
1622,1
680,1
25982,1
40974,1
865,1
39714,1
369,1
825,1
2307,1
6119,1
14698,1
317,1
1018,1
566,1
4953,1
573,1
700,1
7155,1
12979,1
1278,1
17341,1
40628,1
8948,1
39246,1
5582,1
5901,1
991,1
701,1
7762,1
63141,1
6336,1
1580,1
2996,1
35901,1
974,1
6124,1
36510,1
406,1
4843,1
1294,1
2322,1
811,1
20470,1
16383,1
1085,1
973,1
1777,1
707,1
285,1
1565,1
50713,1
367,1
9702,1
1939,1
10984,1
37262,1
62792,1
10025,1
14355,1
37627,1
474,1
1082,1
3793,1
3539,1
881,1
340,1
65386,1
6088,1
36288,1
15466,1
570,1
983,1
339,1
36775,1
4631,1
4832,1
2447,1
5203,1
7757,1
36667,1
12116,1
7165,1
12331,1
35889,1
59298,1
1375,1
1321,1
309,1
455,1
8406,1
8973,1
366,1
843,1
65463,1
7886,1
13732,1
461,1
2826,1
374,1
1108,1
231,1
505,1
398,1
4912,1
41022,1
39198,1
6354,1
10141,1
3571,1
1932,1
39559,1
18460,1
4423,1
36087,1
241,1
2424,1
2665,1
6052,1
343,1
1229,1
428,1
533,1
38249,1
510,1
576,1
427,1
55543,1
13334,1
1078,1
2878,1
6973,1
480,1
1687,1
28524,1
1257,1
4342,1
40954,1
22133,1
1027,1
457,1
414,1
334,1
27525,1
24777,1
1120,1
40958,1
3362,1
3347,1
36514,1
373,1
13587,1
65250,1
35109,1
820,1
35900,1
1011,1
5268,1
1702,1
2566,1
11090,1
5517,1
1338,1
39235,1
7141,1
1862,1
6885,1
3831,1
468,1
617,1
1217,1
422,1
1138,1
1238,1
496,1
31161,1
14477,1
296,1
683,1
52719,1
183,1
40886,1
1816,1
501,1
384,1
916,1
548,1
1065,1
15549,1
10269,1
3504,1
62938,1
28896,1
37861,1
444,1
35992,1
2312,1
38803,1
12966,1
274,1
7084,1
1499,1
3969,1
4399,1
10297,1
14541,1
36570,1
634,1
1167,1
11755,1
754,1
397,1
553,1
419,1
598,1
14448,1
2286,1
447,1
1632,1
11184,1
8279,1
615,1
2764,1
31042,1
179,1
502,1
316,1
18149,1
1216,1
547,1
462,1
552,1
2805,1
10451,1
2271,1
3374,1
3139,1
4075,1
58690,1
35646,1
1340,1
23065,1
717,1
14048,1
7941,1
1116,1
629,1
1494,1
648,1
7483,1
3158,1
11776,1
3319,1
1195,1
22184,1
465,1
928,1
1020,1
60849,1
19708,1
59804,1
3061,1
51862,1
364,1
35298,1
5106,1
351,1
477,1
352,1
43728,1
345,1
10712,1
595,1
65534,1
3307,1
382,1
10608,1
859,1
807,1
612,1
18114,1
638,1
34437,1
61990,1
2624,1
64929,1
942,1
815,1
405,1
4776,1
10876,1
39994,1
410,1
35953,1
3701,1
1013,1
1734,1
3271,1
43234,1
1097,1
521,1
10855,1
963,1
393,1
401,1
517,1
